iter	Passed	Remaining
0	139	27668
1	143	14157
2	149	9804
3	152	7492
4	156	6090
5	159	5164
6	162	4483
7	168	4039
8	171	3636
9	174	3315
10	177	3047
11	182	2859
12	185	2674
13	189	2523
14	194	2403
15	198	2288
16	202	2179
17	205	2081
18	209	1992
19	213	1919
20	220	1882
21	224	1812
22	231	1780
23	234	1718
24	236	1658
25	240	1608
26	245	1571
27	248	1525
28	251	1480
29	254	1440
30	257	1405
31	261	1373
32	265	1345
33	268	1312
34	271	1280
35	274	1251
36	277	1224
37	281	1199
38	284	1174
39	286	1147
40	289	1122
41	292	1101
42	295	1079
43	298	1059
44	301	1039
45	304	1019
46	306	998
47	309	980
48	312	962
49	315	945
50	317	928
51	320	912
52	323	897
53	326	882
54	329	867
55	331	852
56	334	839
57	337	825
58	340	813
59	343	801
60	346	788
61	348	776
62	351	763
63	354	752
64	357	741
65	360	731
66	362	720
67	365	709
68	367	698
69	371	690
70	374	680
71	377	671
72	380	662
73	383	653
74	387	645
75	390	636
76	393	628
77	396	620
78	399	611
79	403	604
80	406	596
81	409	588
82	412	580
83	415	573
84	418	565
85	421	558
86	423	550
87	425	542
88	428	534
89	431	526
90	434	519
91	436	512
92	439	505
93	442	498
94	445	492
95	448	486
96	452	480
97	454	473
98	458	467
99	461	461
100	463	454
101	467	449
102	470	443
103	473	437
104	476	430
105	479	424
106	482	419
107	485	413
108	488	407
109	491	401
110	494	396
111	498	391
112	501	386
113	504	380
114	507	374
115	509	369
116	513	364
117	516	358
118	518	353
119	521	347
120	523	341
121	525	336
122	529	331
123	532	326
124	534	320
125	536	315
126	539	310
127	542	305
128	545	300
129	549	295
130	552	290
131	554	285
132	557	280
133	560	275
134	562	270
135	564	265
136	567	260
137	569	255
138	572	251
139	574	246
140	577	241
141	580	236
142	582	232
143	585	227
144	587	222
145	590	218
146	592	213
147	594	209
148	597	204
149	599	199
150	601	195
151	604	190
152	606	186
153	609	181
154	611	177
155	614	173
156	617	169
157	619	164
158	622	160
159	624	156
160	626	151
161	629	147
162	632	143
163	634	139
164	636	135
165	639	130
166	642	126
167	644	122
168	647	118
169	649	114
170	652	110
171	655	106
172	657	102
173	660	98
174	663	94
175	665	90
176	668	86
177	670	82
178	672	78
179	675	75
180	678	71
181	680	67
182	682	63
183	685	59
184	687	55
185	690	51
186	692	48
187	694	44
188	697	40
189	699	36
190	702	33
191	705	29
192	708	25
193	710	21
194	712	18
195	714	14
196	717	10
197	719	7
198	722	3
199	724	0
